,pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,classify,price (VND),pc_cpu_label
0,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,256 GB,Việt Nam,desktop,13500000.0,Intel
1,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i5,8 GB,Onboard,500 GB,Nước khác,desktop,1800000.0,Intel
2,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,NVIDIA,256 GB,Nước khác,desktop,8500000.0,Intel
3,desktop,desktop,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,256 GB,Việt Nam,desktop,12500000.0,Intel
4,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,NVIDIA,128 GB,Nước khác,desktop,6300000.0,Intel
5,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Onboard,128 GB,Việt Nam,desktop,5890000.0,Intel
6,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,32 GB,Onboard,128 GB,Việt Nam,desktop,9000000.0,Intel
7,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Nước khác,desktop,28000000.0,Intel
8,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,desktop,1350000.0,Intel
9,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,320 GB,Nước khác,desktop,3700000.0,Intel
10,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i9,16 GB,NVIDIA,512 GB,Nước khác,desktop,14800000.0,Intel
11,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,16 GB,NVIDIA,256 GB,Nước khác,desktop,13000000.0,Intel
12,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,desktop,3500000.0,Intel
13,desktop,desktop,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,desktop,1800000.0,Intel
14,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core 2 Duo,4 GB,AMD,640 GB,Nước khác,desktop,350000.0,Intel
15,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,AMD,128 GB,Nước khác,desktop,4800000.0,Intel
16,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Onboard,128 GB,Việt Nam,desktop,3600000.0,Intel
17,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,> 32GB,AMD,250 GB,Thái Lan,desktop,6500000.0,Intel
18,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,256 GB,Nước khác,desktop,6900000.0,Intel
19,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,desktop,2000000.0,Intel
20,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Xeon,4 GB,NVIDIA,< 128 GB,Nhật Bản,desktop,2700000.0,Intel
21,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,4 GB,Onboard,500 GB,Việt Nam,desktop,500000.0,Intel
22,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,desktop,3000000.0,Intel
23,desktop,desktop,Mới,4-6 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,desktop,2500000.0,Intel
24,desktop,desktop,Mới,>12 tháng,>= 21 inch,Intel Xeon,16 GB,NVIDIA,> 1 TB,Trung Quốc,desktop,55000000.0,Intel
25,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,> 32GB,AMD,512 GB,Mỹ,desktop,28000000.0,Intel
26,desktop,desktop,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,512 GB,Việt Nam,desktop,29490000.0,Intel
27,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,500 GB,Việt Nam,desktop,7000000.0,Intel
28,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,desktop,3100000.0,Intel
29,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,256 GB,Nước khác,desktop,8700000.0,Intel
30,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,512 GB,Việt Nam,desktop,9990000.0,Intel
31,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Nước khác,desktop,2450000.0,Intel
32,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i7,16 GB,Onboard,512 GB,Nước khác,desktop,2700000.0,Intel
33,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,4 GB,Onboard,< 128 GB,Nước khác,desktop,500000.0,Intel
34,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i7,8 GB,Onboard,128 GB,Nước khác,desktop,200000.0,Intel
35,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Xeon,> 32GB,Onboard,128 GB,Nước khác,desktop,8120000.0,Intel
36,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,4 GB,Onboard,128 GB,Nước khác,desktop,2000000.0,Intel
37,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,250 GB,Việt Nam,desktop,6900000.0,Intel
38,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Việt Nam,desktop,2850000.0,Intel
39,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i7,8 GB,AMD,128 GB,Nước khác,desktop,1750000.0,Intel
40,desktop,desktop,Mới,>12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,128 GB,Việt Nam,desktop,4500000.0,Intel
41,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,AMD,16 GB,AMD,250 GB,Việt Nam,desktop,3450000.0,AMD
42,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,250 GB,Việt Nam,desktop,1900000.0,Intel
43,desktop,desktop,Mới,Còn bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,500 GB,Việt Nam,desktop,14000000.0,Intel
44,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Pentium,4 GB,Onboard,< 128 GB,Nước khác,desktop,1000000.0,Intel
45,desktop,desktop,Mới,Hết bảo hành,Không bán kèm màn hình,Intel Core i3,16 GB,NVIDIA,256 GB,Nước khác,desktop,7600000.0,Intel
46,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,4 GB,Onboard,128 GB,Nước khác,desktop,1100000.0,Intel
47,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core 2 Duo,4 GB,Onboard,128 GB,Nước khác,desktop,800000.0,Intel
48,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,> 32GB,Onboard,512 GB,Nước khác,desktop,26000000.0,Intel
49,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i3,8 GB,NVIDIA,256 GB,Nước khác,desktop,2800000.0,Intel
50,desktop,desktop,Mới,1 tháng,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Việt Nam,desktop,2700000.0,Intel
51,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,> 32GB,AMD,512 GB,Việt Nam,desktop,9000000.0,Intel
52,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,AMD,8 GB,AMD,128 GB,Thái Lan,desktop,3500000.0,AMD
53,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Pentium,4 GB,Onboard,500 GB,Nước khác,desktop,1850000.0,Intel
54,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Onboard,128 GB,Việt Nam,desktop,3890000.0,Intel
55,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Xeon,8 GB,Onboard,128 GB,Nước khác,desktop,4090000.0,Intel
56,desktop,desktop,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,desktop,6800000.0,Intel
57,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Trung Quốc,desktop,1999000.0,Intel
58,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,desktop,3500000.0,Intel
59,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,desktop,2300000.0,Intel
60,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,16 GB,NVIDIA,256 GB,Việt Nam,desktop,8000000.0,Intel
61,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,500 GB,Nước khác,desktop,5200000.0,Intel
62,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,32 GB,Onboard,128 GB,Nước khác,desktop,2500000.0,Intel
63,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,1 TB,Nước khác,desktop,8000000.0,Intel
64,desktop,desktop,Mới,Hết bảo hành,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,128 GB,Nước khác,desktop,6300000.0,Intel
65,desktop,desktop,Đã sử dụng (chưa sửa chữa),2 tháng,19 - 20.9 inch,Intel Core 2 Quad,6 GB,Onboard,128 GB,Việt Nam,desktop,1800000.0,Intel
66,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Nước khác,desktop,4000000.0,Intel
67,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,AMD,128 GB,Nước khác,desktop,600000.0,Intel
68,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,Onboard,< 128 GB,Việt Nam,desktop,9000000.0,Intel
69,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Việt Nam,desktop,2100000.0,Intel
70,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,Onboard,< 128 GB,Việt Nam,desktop,900000.0,Intel
71,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,desktop,3000000.0,Intel
72,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,256 GB,Nhật Bản,desktop,4200000.0,Intel
73,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,16 GB,AMD,256 GB,Nước khác,desktop,15900000.0,Intel
74,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,AMD,500 GB,Việt Nam,desktop,4250000.0,Intel
75,desktop,desktop,Mới,Hết bảo hành,Không bán kèm màn hình,Intel Pentium,4 GB,Onboard,250 GB,Việt Nam,desktop,650000.0,Intel
76,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,desktop,3900000.0,Intel
77,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i3,16 GB,NVIDIA,256 GB,Nước khác,desktop,8500000.0,Intel
78,desktop,desktop,Mới,>12 tháng,>= 21 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Nước khác,desktop,5750000.0,Intel
79,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,Onboard,500 GB,Nhật Bản,desktop,6500000.0,Intel
80,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,> 1 TB,Nước khác,desktop,19900000.0,Intel
81,desktop,desktop,Mới,3 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,128 GB,Việt Nam,desktop,11830000.0,Intel
82,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,desktop,5800000.0,Intel
83,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,desktop,1490000.0,Intel
84,desktop,desktop,Mới,Còn bảo hành,>= 21 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,desktop,7500000.0,Intel
85,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,512 GB,Việt Nam,desktop,6500000.0,Intel
86,desktop,desktop,Đã sử dụng (qua sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,desktop,3750000.0,Intel
87,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,250 GB,Nước khác,desktop,3600000.0,Intel
88,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,desktop,4700000.0,Intel
89,desktop,desktop,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,AMD,256 GB,Nước khác,desktop,8000000.0,Intel
90,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,250 GB,Nước khác,desktop,3700000.0,Intel
91,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,8 GB,NVIDIA,128 GB,Việt Nam,desktop,6700000.0,Intel
92,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Xeon,32 GB,NVIDIA,128 GB,Nước khác,desktop,7000000.0,Intel
93,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,256 GB,Hàn Quốc,desktop,3990000.0,Intel
94,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,256 GB,Việt Nam,desktop,2350000.0,Intel
95,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i7,16 GB,AMD,1 TB,Nước khác,desktop,6000000.0,Intel
96,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,32 GB,Onboard,512 GB,Mỹ,desktop,6000000.0,Intel
97,desktop,desktop,Đã sử dụng (qua sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i7,8 GB,Onboard,128 GB,Nước khác,desktop,2250000.0,Intel
98,desktop,desktop,Mới,Hết bảo hành,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Nước khác,desktop,7890000.0,Intel
99,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Việt Nam,desktop,4500000.0,Intel
100,desktop,desktop,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,256 GB,Trung Quốc,desktop,4700000.0,Intel
101,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,512 GB,Việt Nam,desktop,25300000.0,Intel
102,desktop,desktop,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,desktop,5500000.0,Intel
103,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,desktop,2800000.0,Intel
104,desktop,desktop,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,500 GB,Việt Nam,desktop,10500000.0,Intel
105,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i7,16 GB,NVIDIA,250 GB,Việt Nam,desktop,6500000.0,Intel
106,desktop,desktop,Đã sử dụng (qua sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,desktop,1900000.0,Intel
107,desktop,desktop,Đã sử dụng (qua sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,500 GB,Nước khác,desktop,3000000.0,Intel
108,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Nước khác,desktop,2200000.0,Intel
109,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,< 128 GB,Nước khác,desktop,2000000.0,Intel
110,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,250 GB,Việt Nam,desktop,10000000.0,Intel
111,desktop,desktop,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,256 GB,Trung Quốc,desktop,5850000.0,Intel
112,desktop,desktop,Mới,Còn bảo hành,>= 21 inch,Intel Core i7,8 GB,Onboard,320 GB,Mỹ,desktop,5550000.0,Intel
113,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Việt Nam,desktop,3200000.0,Intel
114,desktop,desktop,Đã sử dụng (chưa sửa chữa),7-12 tháng,>= 21 inch,Intel Core i3,16 GB,NVIDIA,250 GB,Nước khác,desktop,11000000.0,Intel
115,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Xeon,16 GB,NVIDIA,750 GB,Việt Nam,desktop,8500000.0,Intel
116,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,desktop,1800000.0,Intel
117,desktop,desktop,Mới,Hết bảo hành,19 - 20.9 inch,Intel Core i3,> 32GB,Onboard,< 128 GB,Việt Nam,desktop,5555555.0,Intel
118,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,AMD,500 GB,Mỹ,desktop,4900000.0,Intel
119,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,32 GB,AMD,1 TB,Việt Nam,desktop,7500000.0,Intel
120,desktop,desktop,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,512 GB,Trung Quốc,desktop,7990000.0,Intel
121,desktop,desktop,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,desktop,3800000.0,Intel
122,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,AMD,128 GB,Việt Nam,desktop,3400000.0,Intel
123,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i3,8 GB,NVIDIA,< 128 GB,Việt Nam,desktop,1700000.0,Intel
124,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Việt Nam,desktop,2400000.0,Intel
125,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,4 GB,Onboard,500 GB,Nước khác,desktop,1900000.0,Intel
126,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,desktop,2500000.0,Intel
127,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,Onboard,512 GB,Nước khác,desktop,7200000.0,Intel
128,desktop,desktop,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,256 GB,Trung Quốc,desktop,5300000.0,Intel
129,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,desktop,8800000.0,Intel
130,desktop,desktop,Đã sử dụng (qua sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,4 GB,Onboard,128 GB,Nước khác,desktop,400000.0,Intel
131,desktop,desktop,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i7,32 GB,NVIDIA,1 TB,Nước khác,desktop,27200000.0,Intel
132,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Nhật Bản,desktop,4800000.0,Intel
133,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,250 GB,Mỹ,desktop,2900000.0,Intel
134,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,8 GB,NVIDIA,< 128 GB,Nước khác,desktop,3000000.0,Intel
135,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,16 GB,Onboard,500 GB,Nước khác,desktop,1500000.0,Intel
136,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,8 GB,AMD,128 GB,Việt Nam,desktop,5499999.0,Intel
137,desktop,desktop,Mới,7-12 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Việt Nam,desktop,3850000.0,Intel
138,desktop,desktop,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Việt Nam,desktop,4000000.0,Intel
139,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,desktop,2500000.0,Intel
140,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i7,8 GB,Onboard,256 GB,Nước khác,desktop,990000.0,Intel
141,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Nước khác,desktop,7500000.0,Intel
142,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,desktop,1450000.0,Intel
143,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Hàn Quốc,desktop,1600000.0,Intel
144,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,NVIDIA,250 GB,Nước khác,desktop,6500000.0,Intel
145,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,16 GB,Onboard,512 GB,Nước khác,desktop,3700000.0,Intel
146,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,8 GB,Onboard,500 GB,Việt Nam,desktop,7900000.0,Intel
147,desktop,desktop,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,Onboard,512 GB,Nước khác,desktop,9000000.0,Intel
148,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,Onboard,250 GB,Nước khác,desktop,4000000.0,Intel
149,desktop,desktop,Đã sử dụng (qua sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,desktop,1500000.0,Intel
150,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Việt Nam,desktop,1750000.0,Intel
151,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Việt Nam,desktop,2500000.0,Intel
152,desktop,desktop,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,250 GB,Mỹ,desktop,3400000.0,Intel
153,desktop,desktop,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Celeron,4 GB,Onboard,128 GB,Nước khác,desktop,1200000.0,Intel
154,desktop,desktop,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i5,16 GB,NVIDIA,128 GB,Việt Nam,desktop,3190000.0,Intel
155,desktop,desktop,Đã sử dụng (chưa sửa chữa),>12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,AMD,512 GB,Việt Nam,desktop,6000000.0,Intel
156,desktop,desktop,Đã sử dụng (qua sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Mỹ,desktop,5490000.0,Intel
